,g,date,time,day,school,home/away,opponent,conf,w/l,pts,opp,w,l,streak,notes,pct_passing,yds_passing,td_passing,yds_rushing,avg_rushing,td_rushing,yds_tot_off,avg_tot_off.,tot_first_downs,no_penalties,tot_turnovers,team
10,11,2023-11-18,7:00 PM,Sat,Utah State,,Boise State,MWC,L,10,45,5,6,L 1,,53.3,209,1,164,3.9,0,373,5.2,16,5,4,utah state
11,12,2023-11-24,3:30 PM,Fri,Utah State,@,New Mexico,MWC,W,44,41,6,6,W 1,,59.3,198,2,302,6.0,4,500,6.5,30,13,1,utah state
12,13,2023-12-23,3:30 PM,Sat,Utah State,N,Georgia State,Sun Belt,L,22,45,6,7,L 1,Famous Idaho Potato Bowl,59.4,188,2,158,4.9,1,346,5.4,18,4,1,utah state
0,1,2023-09-02,7:00 PM,Sat,Colorado State,,Washington State,Pac-12,L,24,50,0,1,L 1,,63.6,320,2,37,1.9,0,357,5.6,18,4,2,colorado state
1,2,2023-09-16,10:00 PM,Sat,Colorado State,@,(18) Colorado,Pac-12,L,35,43,0,2,L 2,,72.9,397,4,102,2.6,0,499,5.7,24,17,4,colorado state
2,3,2023-09-23,7:00 PM,Sat,Colorado State,@,Middle Tennessee State,CUSA,W,31,23,1,2,W 1,,70.5,345,3,33,1.7,0,378,6.0,18,11,1,colorado state
3,4,2023-09-30,7:00 PM,Sat,Colorado State,,Utah Tech,Non-Major,W,41,20,2,2,W 2,,79.4,474,4,104,3.6,2,578,9.2,25,8,3,colorado state
4,5,2023-10-07,8:00 PM,Sat,Colorado State,@,Utah State,MWC,L,24,44,2,3,L 1,,45.6,225,0,95,3.7,2,320,3.9,20,8,5,colorado state
5,6,2023-10-14,9:45 PM,Sat,Colorado State,,Boise State,MWC,W,31,30,3,3,W 1,,59.3,359,3,42,2.0,1,401,5.3,21,11,1,colorado state
6,7,2023-10-21,7:00 PM,Sat,Colorado State,@,Nevada-Las Vegas,MWC,L,23,25,3,4,L 1,,63.6,235,1,137,4.4,1,372,5.8,19,4,1,colorado state
7,8,2023-10-28,7:00 PM,Sat,Colorado State,,(19) Air Force,MWC,L,13,30,3,5,L 2,,62.2,297,1,42,2.2,0,339,5.3,17,5,1,colorado state
8,9,2023-11-03,8:00 PM,Fri,Colorado State,@,Wyoming,MWC,L,15,24,3,6,L 3,,57.1,220,2,54,2.6,0,274,4.3,20,3,3,colorado state
9,10,2023-11-11,7:00 PM,Sat,Colorado State,,San Diego State,MWC,W,22,19,4,6,W 1,,58.1,244,0,183,4.2,2,427,5.7,22,11,2,colorado state
10,11,2023-11-18,3:00 PM,Sat,Colorado State,,Nevada,MWC,W,30,20,5,6,W 2,,48.4,245,2,169,5.0,1,414,6.4,23,5,1,colorado state
11,12,2023-11-25,11:00 PM,Sat,Colorado State,@,Hawaii,MWC,L,24,27,5,7,L 1,,68.4,317,2,108,3.7,1,425,6.3,21,5,1,colorado state
0,1,2023-08-26,7:30 PM,Sat,Hawaii,@,Vanderbilt,SEC,L,28,35,0,1,L 1,,77.1,351,3,40,1.6,1,391,6.5,19,7,2,hawaii
1,2,2023-09-01,11:00 PM,Fri,Hawaii,,Stanford,Pac-12,L,24,37,0,2,L 2,,56.6,355,3,-5,-0.3,0,350,5.1,20,11,0,hawaii
2,3,2023-09-10,12:00 AM,Sun,Hawaii,,Albany,Non-Major,W,31,20,1,2,W 1,,57.5,266,4,113,3.1,0,379,4.9,19,11,3,hawaii
3,4,2023-09-16,8:00 PM,Sat,Hawaii,@,(13) Oregon,Pac-12,L,10,55,1,3,L 1,,63.6,142,1,59,3.1,0,201,3.2,15,5,1,hawaii
4,5,2023-09-24,12:00 AM,Sun,Hawaii,,New Mexico State,CUSA,W,20,17,2,3,W 1,,70.3,245,1,98,3.3,1,343,5.1,21,4,1,hawaii
5,6,2023-09-30,4:00 PM,Sat,Hawaii,@,Nevada-Las Vegas,MWC,L,20,44,2,4,L 1,,62.9,313,2,46,1.8,0,359,5.9,20,6,2,hawaii
6,7,2023-10-14,11:00 PM,Sat,Hawaii,,San Diego State,MWC,L,34,41,2,5,L 2,,60.4,427,3,53,3.5,1,480,7.6,19,2,4,hawaii
7,8,2023-10-21,6:00 PM,Sat,Hawaii,@,New Mexico,MWC,L,21,42,2,6,L 3,,63.5,345,3,58,3.9,0,403,6.0,27,2,4,hawaii
